Course,Course Title,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Extracted_Link,Prerequisites
COMP_SCI 110,Intro to Computer Programming,10-10:50 MWF Horn,10-10:50 MWF (2 sections) Bain,9:30-10:50 TuTh Kuzmanovic,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/110.html,
COMP_SCI 111,Fundamentals of Computer Programming I,1-1:50 or 2-2:50 MWF Bain,11-11:50 MWF Sood,1-1:50 MWF Sood,Remote/Async (First 5 weeks) Bain,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/111.html,
COMP_SCI 150,Fundamentals of Computer Programming 1.5,12-12:50 MWF (2 sections) Geisler,1-1:50 MWF (2 sections) Kurdia,11-11:50 MWF Geisler,9-12:30pm MTWThF (First 2 weeks) Kurdia,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/150.html,
COMP_SCI 196,Applied Generative AI for Novice Programmers,,5-6pm W (4WS 2/4-3/4) Bardach,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/196-1.html,"CS 110, CS 150, STAT 201), not CS major"
COMP_SCI 196,Applied Generative AI for Experienced Programmers,,4-5pm Th (4WS 2/12-3/12) Bardach,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/196-2.html,Comp_sci 214
COMP_ENG 203,Intro to Computer Engineering,MTuWF 11-11:50 Szefer,MTuWF 11-11:50 Zhou,,,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/203.html,
COMP_ENG 205,Fundamentals of Computer System Software,,MTWF 2:00-2:50 Joseph,,,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/205.html,Freshman programming requirement. COMP_ENG 203 helpful
COMP_SCI 211,Fundamentals of Computer Programming II,12:30-1:50 TuTh Hummel,9:30-10:50 or 12:30-1:50pm TuTh (2 sections) Y. Zhang,2-3:20 TuTh Hummel,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/211.html,"COMP_SCI 111, 150"
COMP_SCI 212,Mathematical Foundations of CS Part 1: Discrete mathematics for computer science,9:30-10:50 TuTh Racz,11-11:50 MWF Agarwal,10-10:50 MWF Agarwal,Remote/Async (9 weeks) Agarwal,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/212.html,"COMP_SCI 110, COMP_SCI 111"
COMP_SCI 213,Intro to Computer Systems,9:30-10:50 TuTh Dinda,2-3:20 TuTh (2 sections) Ghena,2-3:20 TuTh Hardavellas,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/213-20.html,COMP_SCI 211
